sim_00_03,sim_00_07,sim_03_07
0.9338487,0.993011,0.92555547
0.9368162,0.8650073,0.79895455
0.9811395,0.5020292,0.4939565
0.9803847,0.498852,0.5063239
0.40373242,0.84313256,0.39255065
0.32880822,0.79785275,0.38316727
0.5164538,0.47625554,0.6287895
0.14439113,0.19140753,0.42461345
0.341431,0.5890154,0.4029187
0.46885705,0.43307313,0.39724416
1.0,1.0,1.0
0.25989342,0.3933074,0.58673906
0.30641842,0.88222903,0.31499788
0.29793978,0.8955925,0.28144193
0.42813477,0.99406683,0.42373195
0.37390164,0.9434024,0.48868644
0.38178962,0.43962765,0.954341
0.16356109,0.28469008,0.42920727
0.48198614,0.24545333,0.29353982
0.99276185,0.9453786,0.94576347
1.0000001,1.0000001,1.0000001
0.99887204,0.9957075,0.9943024
0.79908836,0.77365637,0.9206522
0.6240574,0.5224798,0.33785236
0.7389107,0.6382108,0.5083029
0.5384841,0.76940656,0.46578473
0.33923325,0.4554339,0.49564022
0.4515586,0.9814749,0.443426
0.52068627,0.60997057,0.46535933
0.5710107,0.48842978,0.5716217
1.0,0.962328,0.962328
0.6808437,0.7348892,0.8174362
0.34562603,0.8164027,0.27905744
0.13272823,0.82297796,0.30831504
0.4259513,0.5863757,0.3502422
0.4767543,0.55917907,0.47854468
0.37823373,0.41034123,0.5322439
0.48612803,0.22691026,0.38314328
0.3696737,0.26321322,0.39650697
0.36786097,0.2724851,0.37203676
0.9376428,1.0000001,0.9376428
1.0000001,0.9679917,0.9679917
0.98495406,0.89134014,0.89588326
1.0000001,0.3848294,0.3848294
0.9323677,0.6186022,0.5899271
1.0,0.27869096,0.27869096
0.9936859,0.6682856,0.6575177
0.9999999,0.37586498,0.37586498
0.9285258,0.6619147,0.61443883
0.919868,0.33549064,0.2946065
0.9914439,0.9914439,1.0000002
1.0,0.7590925,0.7590925
1.0000002,0.8415739,0.8415739
0.3696271,0.8233045,0.3740188
0.30559093,0.31360134,0.2207936
0.5479884,0.55458087,0.6399803
0.29987326,0.31502175,0.3605456
0.36634576,0.48181248,0.23541239
0.3637708,0.35400784,0.31747124
0.74922776,0.3848626,0.28561586
0.989109,0.989109,1.0000002
0.88912255,0.9074018,0.98007846
1.0000002,0.8175812,0.8175812
0.77246726,0.6222398,0.7459419
0.8763836,0.55111104,0.55003256
0.6333786,0.41744778,0.5412113
0.33635455,0.3674103,0.40473604
0.90042025,0.57294434,0.5609224
0.25154838,0.8853692,0.30523467
0.2926469,0.21696112,0.7770119
1.0,0.9971236,0.9971236
0.7043616,0.99563146,0.7107463
0.6544708,0.6155917,0.6401231
0.6057075,0.6959635,0.44147843
0.99702215,0.6003784,0.5855479
0.980346,0.57736295,0.6352668
0.41464394,0.6392368,0.5708377
0.5229895,0.5952035,0.9689769
0.8230507,0.7114809,0.69980896
0.8850963,0.9274622,0.8172535
1.0000002,1.0000002,1.0000002
0.819343,0.6718654,0.85342354
0.71491724,0.78737664,0.9389256
0.6198318,0.7350111,0.6028386
0.68150926,0.42833215,0.46116018
0.6162398,0.5957783,0.55550385
0.56377643,0.56377643,0.99999994
0.58839,0.7392917,0.5764051
0.5805901,0.7203156,0.5417534
0.4906805,0.62413883,0.31153584
0.9999999,0.9999999,0.9999999
0.7921211,0.9837515,0.7674741
0.64207184,0.9930159,0.6467446
0.79812956,0.7396978,0.53798306
1.0000002,0.5567871,0.5567871
0.56840205,0.5685679,0.99842536
1.0,0.7234707,0.7234707
0.59466577,0.6071056,0.72825027
0.53575087,0.76546043,0.61544377
0.6763079,0.5178484,0.8780534
1.0000001,1.0000001,1.0000001
0.7191427,0.97173387,0.69848627
0.71933746,0.57953143,0.7395427
0.4730959,0.65392417,0.75901
0.7754789,0.47769028,0.37278736
0.54569906,0.38207346,0.37439293
0.45590773,0.38522553,0.3272476
0.51016515,0.46225306,0.43433195
0.94793826,0.9317892,0.91943705
0.38393354,0.378325,0.946581
0.63153994,0.8141587,0.7916941
0.58271116,0.5999429,0.969959
0.6666554,0.5966494,0.6484362
0.5809674,0.91636443,0.6347991
0.4014472,0.48611543,0.3110305
0.33378458,0.34079054,0.22792107
0.571113,0.37813726,0.2644158
0.34857953,0.62799674,0.31676787
0.3132921,0.37139404,0.18079934
0.6043768,0.30867398,0.4063043
0.9965802,0.960097,0.9664824
0.8956766,0.8956766,1.0
0.8355005,0.47039658,0.5940295
0.4661078,0.7287206,0.6395875
0.59014195,0.56585366,0.5000118
0.71345294,0.9036555,0.7662324
0.40830463,0.6548253,0.3402788
0.7529856,0.7177319,0.6572715
0.4519835,0.29631147,0.34646696
0.700655,0.6891599,0.9537312
0.9971383,1.0000001,0.9971383
0.9961441,1.0000001,0.9961441
0.79705703,0.6153001,0.77231014
0.99713767,0.58527493,0.592416
0.9999999,0.37040466,0.37040466
0.79049385,0.4063678,0.515451
0.9971331,0.41218287,0.41759387
0.9527977,0.6050541,0.56042165
0.6121242,0.60625744,0.84984577
0.42688575,0.39526722,0.1917327
0.9733244,0.5483941,0.5069567
0.9877749,0.5609137,0.56149626
0.69047624,0.7535787,0.96070904
0.55059505,0.5034867,0.65918577
0.99393594,0.96303564,0.9622329
0.60748243,0.4850949,0.7674992
0.9117822,0.3781767,0.22759227
0.7710973,0.19438654,0.37865987
0.66156566,0.5195633,0.36909515
0.34712645,0.80775595,0.22612353
0.9753599,0.93898046,0.95451283
0.94925064,0.94995916,0.9598137
0.95370054,0.95703673,0.9750457
0.99475825,0.8391565,0.8485628
0.7234758,0.9818463,0.7320022
0.63765144,0.961825,0.66869223
0.9931437,0.9739524,0.9714871
0.75081503,0.9532213,0.7733674
0.5364228,0.7846556,0.51306176
0.6630701,0.73323405,0.72394913
0.7093923,0.99589,0.70957464
0.9618993,1.0000001,0.9618993
0.7001054,0.52236813,0.6255742
0.9633758,0.46684635,0.5036386
0.6784637,0.31876397,0.4615237
0.72858787,0.53880847,0.5363226
0.9721591,0.5855217,0.5451565
0.82180595,0.3451329,0.3702318
0.39892992,0.39323133,0.3511286
0.26005897,0.25424546,0.21909896
0.9999998,0.87487113,0.87487113
1.0000001,0.87771696,0.87771696
0.6015451,0.59872484,0.9942908
0.5584465,0.5552735,0.9967908
0.7901081,0.7903337,0.62709403
0.92153597,0.7469612,0.7134232
0.18510626,0.5921083,0.16682301
0.3830175,0.9091846,0.28747803
0.94587016,0.8621869,0.842926
0.30930912,0.2685303,0.20450881
0.99999994,0.99589527,0.99589527
0.9859028,0.9796889,0.9935757
0.99999994,0.99999994,0.99999994
0.9986881,0.7368514,0.7400719
0.7711911,0.7311708,0.761338
0.8376651,0.82323813,0.869206
0.6374207,0.6831842,0.42536026
0.7906695,0.4230294,0.5095059
0.6501515,0.676113,0.9965334
0.52214015,0.48493156,0.7888752
0.988843,0.9551885,0.9535757
0.97057277,0.9689419,0.9507029
0.9731675,0.9657824,0.93978715
1.0000002,0.90981483,0.90981483
0.99590325,0.9157891,0.92617786
0.99638146,0.92693794,0.93664503
1.0,1.0,1.0
1.0,1.0,1.0
0.6477069,0.65770483,0.87608266
0.2936542,0.21754232,0.4367683
1.0,1.0,1.0
0.9513198,0.6060122,0.608938
0.7277195,0.98128796,0.75089705
0.86189383,0.36971954,0.36771145
0.7270974,0.60419846,0.8145857
0.6753,0.9930519,0.67212796
0.3649813,0.35174966,0.6125805
0.7251489,0.2593464,0.42092708
0.4753359,0.40351498,0.6239572
0.5766751,0.5544624,0.5290092
0.99999994,0.99999994,0.99999994
0.9894105,0.9921221,0.9967377
0.99999994,0.99999994,0.99999994
0.9428033,0.9417011,0.9964906
0.99247444,0.99946463,0.99119633
0.45862484,0.3387457,0.61538637
0.4545663,0.77774346,0.6103488
0.996239,0.35642934,0.3580917
0.6639248,0.57177424,0.6303098
0.99596643,0.40557224,0.4025114
0.97392493,1.0,0.97392493
0.9573586,0.88793445,0.91190934
0.9699501,0.9980212,0.9660989
0.32246584,0.17721826,0.26155287
0.9580251,0.5155602,0.49189737
0.939746,0.9321918,0.9590533
0.99310786,0.22759128,0.24471118
0.1800615,0.18865147,0.99237365
0.17704959,0.24393302,0.6563937
0.19192126,0.9197613,0.1642012
1.0,0.8631831,0.8631831
0.8824282,0.7612837,0.6685926
0.965714,1.0,0.965714
0.9985896,0.32167923,0.32455564
0.90617394,0.43715608,0.40241796
0.99999994,0.7804266,0.7804266
0.8575413,0.86536187,0.95424336
0.3352674,0.76528645,0.32329664
0.3398911,0.38126424,0.5626128
0.69141614,0.36088744,0.3710804
0.94931006,0.9419361,0.9935096
0.47409436,0.4723403,0.8041091
0.39984924,0.39403406,0.99325264
0.3982386,0.40607768,0.95163625
0.68539643,0.60073733,0.68082494
0.67498666,0.57144266,0.6517379
0.45219603,0.50048137,0.61249197
0.37848467,0.35385123,0.81389284
0.8409225,0.24271631,0.25192767
0.9465531,0.24437052,0.23655672
0.9947355,0.8862844,0.87802213
0.9980459,0.98244774,0.9817047
1.0000001,0.73632324,0.73632324
0.9444622,0.4730513,0.4348237
0.8116172,0.4482142,0.47389403
0.99979734,0.51918674,0.515923
0.7574811,0.54273766,0.6083816
0.58704674,0.49100378,0.4819479
0.7070662,0.32078817,0.409158
0.8698019,0.26917392,0.20002413
0.7575765,0.73808396,0.98840785
0.55720884,0.5336948,0.98269624
0.2961949,0.7641436,0.28258058
0.87117314,0.23818862,0.2724914
0.21888542,0.2663813,0.26163772
0.8540664,0.2203759,0.17599367
0.3759954,0.35674477,0.29730245
0.31522053,0.27867216,0.41752484
0.3073548,0.105739,0.28643596
0.2435679,0.4977713,0.28240347
0.9710266,0.7132249,0.70594984
0.9619366,0.8931886,0.85853535
0.7528502,0.51841134,0.38180727
0.7446389,0.6552082,0.5256629
0.98059595,0.113681585,0.117881455
0.43420973,0.28850868,0.31862354
0.3304897,0.44224823,0.23495427
0.98354506,0.30541497,0.29998255
0.37689397,0.07938658,0.48696128
0.15659222,0.64379734,0.16300826
0.9643322,1.0000002,0.9643322
1.0,1.0,1.0
0.96872765,0.4509198,0.4685918
0.96986234,0.38678825,0.34655386
0.94764614,0.6139537,0.59062445
0.46850622,0.5267215,0.8963669
0.43896538,0.22592883,0.28614542
0.51748097,0.69064283,0.46398574
0.34972522,0.41899934,0.48454642
0.5477508,0.37492305,0.7663353
0.9981202,0.9981202,1.0000001
0.61755806,0.8280793,0.7832676
0.60835665,0.58484304,0.8414756
1.0000001,0.4641187,0.4641187
0.6867564,0.46257755,0.38156536
0.6030322,0.46134347,0.867735
0.37955856,0.50290126,0.850564
0.37344956,0.38468313,0.9284754
0.7334072,0.48730224,0.64734733
0.6373514,0.9148607,0.6651999
0.7117522,0.69296396,0.97412544
0.72715855,0.7301318,0.8763455
0.3604614,0.91818976,0.31952715
0.9071189,0.38385546,0.33869588
0.5513239,0.9805939,0.5214688
0.44501445,0.55486727,0.9301443
0.47136825,0.43275118,0.2863204
0.9821731,0.4638839,0.45626462
0.35822886,0.41086587,0.9190024
0.2681333,0.23898965,0.86728275
0.99171066,0.973609,0.97250044
0.91666955,0.9885491,0.89763135
0.48631465,0.8956753,0.3998879
0.36704206,0.8113867,0.34927714
0.39276165,0.3675241,0.8203454
0.7804235,0.28584537,0.26577395
0.79123926,0.68506014,0.5541289
0.28281808,0.4448762,0.63362986
0.90313697,0.36802167,0.39237028
0.70020974,0.27025503,0.23864503
0.9999999,0.9999999,0.9999999
0.92794126,0.9966221,0.9314711
0.71333617,0.46309328,0.41613165
0.6116532,0.44975948,0.4801195
0.62751764,0.6612531,0.5531876
0.44191748,0.48668987,0.5028409
0.4019091,0.54492134,0.22881427
0.62299466,0.7955773,0.5730156
0.31162947,0.3872721,0.3559274
0.9035231,0.5518558,0.42502013
0.9950093,0.76320195,0.767947
0.99488616,0.8637382,0.8508143
0.86868334,0.41791388,0.41087905
0.8821659,0.8388339,0.83303213
0.6989951,0.56110996,0.6715451
0.48502293,0.8433583,0.44806975
0.35658824,0.31473958,0.71614146
0.9574655,0.8891996,0.8950113
0.7256915,0.5904275,0.55708957
0.8372809,0.6150899,0.6471363
1.0000001,0.7218549,0.7218549
0.9954049,0.68260235,0.67993355
0.81706846,0.8325027,0.7396747
0.41493854,1.0,0.41493854
0.77363336,0.63378733,0.52286816
0.55021906,0.8427621,0.7346929
0.57787013,0.8546224,0.55560946
0.57063836,0.3008746,0.39533716
0.87309086,0.39719182,0.30614886
0.7238038,0.67848015,0.85674214
0.99893975,0.9628879,0.96506244
0.97823346,0.99087745,0.97090983
0.7926824,0.6511049,0.71277773
0.8514791,0.726331,0.74492824
0.83575654,0.6785274,0.6877269
0.53930044,0.5083207,0.7155166
0.7231551,0.84542835,0.7857105
0.8294493,0.61124563,0.47850633
0.62013274,0.649915,0.60216296
0.6892514,0.5388321,0.5431137
1.0,0.9915546,0.9915546
1.0,0.558745,0.558745
0.9823135,0.89020914,0.91231364
1.0000002,0.78394705,0.78394705
0.9321274,0.36907798,0.4307977
0.71112514,0.97133285,0.70457
0.4326496,0.47300535,0.66109705
0.86428756,0.46833855,0.5224867
0.36939698,0.869554,0.4297289
0.98475003,0.7753524,0.8007787
1.0000002,0.8232402,0.8232402
0.99999994,0.99999994,0.99999994
0.68346035,0.96956605,0.73571634
0.14296556,0.16932294,0.8546744
0.11147487,0.11908677,0.98003316
0.96648395,0.92287517,0.9382179
0.9942593,0.8457764,0.85450745
0.84376746,0.6341822,0.70459443
1.0,0.13874644,0.13874644
0.6944698,0.7143059,0.7433063
1.0000002,0.9937533,0.9937533
0.9312024,1.0,0.9312024
0.99307275,0.8468315,0.8523962
0.984162,0.92145663,0.9057909
1.0000001,0.8698816,0.8698816
0.23248342,0.5614998,0.3928963
1.0,0.5769551,0.5769551
0.8923704,0.49979144,0.55648845
0.93798506,0.38920188,0.37265372
0.5272329,0.42879903,0.7028086
1.0000001,1.0000001,1.0000001
0.23146759,0.23056565,0.7283485
0.4639789,0.4610865,0.9591953
0.99713457,1.0,0.99713457
0.55530065,0.3893443,0.38151073
0.3444685,0.5478698,0.47473526
1.0,0.4849704,0.4849704
0.4424801,0.50125736,0.8413364
0.40820262,0.7198015,0.26871318
0.307108,0.7618755,0.39889836
1.0000001,0.6052752,0.6052752
1.0000001,0.5230056,0.5230056
1.0,0.6687846,0.6687846
0.9999999,0.25822255,0.25822255
0.98887956,0.29513016,0.30682203
0.49525356,0.4409881,0.36224014
0.3781216,0.52601516,0.5411543
0.5510842,0.18140948,0.28603086
0.99043643,0.43447495,0.42443654
0.26772308,0.21606223,0.44200376
0.9884958,0.8683214,0.87742597
1.0000002,0.93828976,0.93828976
1.0,0.99625427,0.99625427
0.99731654,0.8317364,0.8166861
0.47549415,0.45038378,0.90532315
0.3852142,0.2034801,0.12779978
0.3285994,0.23171346,0.047219303
0.5400631,0.12792388,0.2282241
0.6212262,0.64093477,0.9519221
0.40132144,0.2709418,0.24356529
0.99592245,0.9752439,0.97343975
0.9931085,0.9904032,0.99794424
0.4873716,0.48265764,0.9500081
0.59297305,0.6704117,0.84172374
0.92392516,0.8573452,0.87632436
0.67353946,0.8351504,0.82162577
0.8857993,0.5351827,0.54144794
0.6545216,0.44545949,0.26374492
0.6694871,0.9559359,0.6635478
0.5998151,0.7660759,0.58690226
0.99812734,0.94261444,0.93978584
0.45516354,0.44513145,0.7053069
0.65114415,0.8765949,0.61753696
0.7252811,0.4753473,0.5202899
0.54094714,0.25819153,0.3062382
0.90970725,0.14166424,0.10578996
0.39652663,0.44149953,0.77267957
0.38462597,0.26223004,0.23647697
0.39283946,0.5120867,0.47718495
0.6056735,0.4633052,0.4296381
0.99752355,0.9999999,0.99752355
1.0,0.65505177,0.65505177
0.6055372,0.83366656,0.5361498
0.40465593,0.8880261,0.41391948
0.50032645,0.41993254,0.4477936
0.31169426,0.56308156,0.30400315
0.60523236,0.42265356,0.520198
0.75242764,0.4000121,0.43389332
0.28443506,0.32804954,0.9174271
0.19164082,0.25340804,0.5714864
1.0000002,0.95397913,0.95397913
0.99908763,0.160636,0.16253069
0.5205677,0.6328837,0.7617632
0.45937836,0.88266855,0.47400454
0.22700064,0.98463106,0.25045326
0.2696694,0.6295743,0.30969012
0.22050712,0.17327383,0.5005756
0.49640906,0.23065221,0.40952158
0.23760992,0.3706494,0.36354
0.2170173,0.42269698,0.44426766
0.99818677,0.9975566,0.9992383
0.71430695,0.87084293,0.72510934
0.96071714,0.92712116,0.91055775
0.99999994,0.5522172,0.5522172
0.27783537,0.5357516,0.56217384
0.3976592,0.7323811,0.29105574
0.41785493,0.5019989,0.44387048
0.32157034,0.7164647,0.38238114
0.52181244,0.40516233,0.4232487
0.3405039,0.81977713,0.22646505
0.9927834,0.92391586,0.9339181
0.9852638,0.7371565,0.7370132
0.924297,0.85339826,0.9012698
0.91072184,0.66702145,0.6427103
0.9253643,0.98263645,0.92532617
0.60310227,0.3962089,0.5359217
0.7764907,0.2467838,0.2528264
0.58360225,0.22636396,0.18628325
0.36183804,0.30318895,0.8690486
0.3857653,0.30481282,0.2254153
0.9458184,0.9971077,0.9484856
0.95296973,0.9908339,0.9666655
0.41973302,0.50594944,0.59975857
0.5774035,0.6619403,0.58108
0.750237,0.80019665,0.67810994
0.7639204,0.52329254,0.5741551
0.6762487,0.76214594,0.6570276
0.4884466,0.4834001,0.478161
0.515479,0.55594987,0.63915825
0.8105076,0.9941106,0.808535
0.99718475,0.9488445,0.9621316
0.77227163,0.6695884,0.65090597
0.92892635,0.6365922,0.6315104
0.16638674,0.9447796,0.20892844
0.5114309,0.98775643,0.5113368
0.5958502,0.77561337,0.7750834
0.11099463,0.36783645,0.123282984
0.2723496,0.36856067,0.25032574
0.47832882,0.48711222,0.9366215
0.40870875,0.39075333,0.99321705
0.9999999,0.9957018,0.9957018
0.99457514,0.94736147,0.95196724
0.8989131,0.269673,0.20644648
0.68847543,0.10340531,0.10069124
0.9982772,0.13486853,0.13810769
1.0000002,0.29785246,0.29785246
0.9632919,0.12426238,0.16373803
0.6232729,0.35424355,0.44082284
0.17305249,0.21300061,0.5956343
0.77129024,0.07235718,0.053510018
0.97127247,0.9992511,0.971545
0.96934193,0.39857596,0.3660013
0.82628304,0.5628421,0.5294529
0.99952906,0.42802793,0.42494208
0.9843677,0.5949998,0.58781904
0.9560786,0.4109335,0.45427683
0.6156535,0.3934334,0.3405491
0.8917242,0.6208349,0.64414096
0.8680457,0.6194215,0.6015522
0.6899848,0.64060783,0.88132125
0.9895849,0.87263834,0.87058145
0.9996292,0.85242856,0.85324633
0.9800545,0.85095173,0.82888234
0.575197,0.73212266,0.4948849
0.9930679,0.5684113,0.54250515
0.99646384,0.81381947,0.8216401
0.2859147,0.6547143,0.6125419
0.64316696,0.8614609,0.58406925
0.6549095,0.61679333,0.54200745
0.6835152,0.47279352,0.4589473
0.8617399,0.99415565,0.8564644
0.97696185,0.9666522,0.9480574
0.6278864,0.98430306,0.6236789
0.57389104,0.8336992,0.5845206
0.58098435,0.5967254,0.97833914
0.9806574,0.98022544,0.99796957
0.70540106,0.7347878,0.8357735
0.61055815,0.6453848,0.92248976
0.5590488,0.5826043,0.9016401
0.84720707,0.5950172,0.64543056
1.0,0.98504144,0.98504144
0.97776306,0.44299856,0.4464472
0.91479766,0.69296455,0.6752162
0.9793403,0.52784896,0.53441274
0.34604383,0.36728686,0.36844042
0.6429703,0.5484868,0.73243517
0.46326512,0.47963482,0.40336543
0.29794466,0.3214558,0.19698003
0.8602601,0.39221114,0.2891568
0.85324365,0.80386865,0.9501569
0.89372283,0.8752753,0.98437494
0.93880105,0.85294783,0.8678019
0.9615904,0.9187701,0.94856846
0.94464374,0.9470238,0.9634505
0.97657967,0.9376465,0.9142082
0.9898776,0.9304895,0.9238594
0.86309,0.81237984,0.82341653
0.49287546,0.2826273,0.42927393
0.87449324,0.22918124,0.2508565
0.19312371,0.839492,0.2869949
0.7314039,0.6698895,0.9150225
0.73621607,0.7479478,0.98170865
0.39213604,0.4023759,0.9167202
0.54114825,0.4855898,0.64159757
0.5665755,0.7663058,0.7038162
0.7332279,0.6499829,0.61314994
0.67379093,0.62605613,0.7133347
0.60053813,0.6326755,0.60790265
0.45802993,0.57436854,0.3983761
0.8104379,0.18839519,0.27542344
1.0,0.99550855,0.99550855
0.4973683,0.8646562,0.49644858
0.37137532,0.48794,0.40922767
0.62953997,0.99132025,0.6207503
0.57825637,0.3944075,0.34649378
0.07863823,0.5340604,0.1568705
0.36918744,0.47721124,0.43639383
0.33439177,0.4121518,0.8409939
0.61875224,0.420721,0.32479495
0.27266103,0.29606074,0.66308725
0.9905696,0.5183381,0.5258477
0.9261637,0.8825489,0.8497719
0.9901074,0.88595885,0.89814556
0.5583361,0.9200483,0.57660306
0.4699074,0.49969748,0.91150033
0.44120345,0.4576447,0.55521846
0.6416601,0.4809682,0.5833562
0.9034951,0.46613663,0.42508715
0.26365435,0.30770075,0.957317
0.3929757,0.42064774,0.8812195
1.0,0.99708354,0.99708354
0.9991038,0.8836553,0.8816674
0.9493973,0.43178484,0.41260004
0.6268636,0.6995754,0.466035
0.97000384,0.46839204,0.4937569
0.878261,0.64487886,0.63927376
0.7311968,0.49186662,0.6354806
0.5063027,0.5903673,0.7936358
0.49177706,0.20188901,0.3453455
0.92456186,0.4761753,0.47428614
0.9917807,0.947349,0.9378028
0.99707955,0.9459698,0.9466667
0.94324774,0.9013159,0.95486414
0.99708796,0.99243546,0.99096113
0.5227523,0.8772024,0.68859255
0.5371104,0.6663171,0.6456989
0.96891373,0.47142804,0.43114513
0.8133683,0.99298894,0.8255903
0.9976713,0.6886128,0.6832546
0.803831,0.77732027,0.66682726
1.0000001,1.0000001,1.0000001
1.0000001,1.0000001,1.0000001
0.9466742,0.9959748,0.9471388
0.9999998,0.9999998,0.9999998
0.7066019,0.9434482,0.6239778
0.8459521,0.97616005,0.85450006
0.42350763,0.39798814,0.97118205
0.6996464,0.45748734,0.5961575
0.6157343,0.4991867,0.36770695
0.8811873,0.9223371,0.87980133
1.0000002,0.65434134,0.65434134
0.996295,0.78381765,0.77020717
1.0,0.64206874,0.64206874
0.99048924,0.73587424,0.75800085
0.2072379,0.255937,0.9008014
0.49630967,0.13271281,0.15730041
0.7271156,0.44366467,0.40828475
0.50370526,0.46612024,0.7625755
0.73333323,0.3715514,0.32527173
0.38376275,0.37967962,0.46684855
0.9963232,0.66935766,0.67415905
1.0,0.52975357,0.52975357
0.9903054,0.5411156,0.5436275
0.99782455,0.8124831,0.8066495
0.3931573,0.43540043,0.82838666
0.51541,0.49765986,0.9869738
0.29198813,0.30741265,0.9564874
0.26062956,0.26311696,0.9978457
0.32974967,0.1629686,0.40488783
0.90215755,0.90472406,0.996824
0.96951866,0.9748894,0.95898646
0.8695818,0.63219464,0.7443611
0.7471995,0.28813738,0.31218284
0.3126957,0.37250337,0.46339032
0.39839625,0.42966422,0.6152292
0.23842968,0.25316453,0.54803586
0.31729406,0.33082497,0.5865464
0.20948899,0.32050976,0.24037847
0.21955067,0.5049228,0.29794577
0.26860827,0.2868702,0.53367513
